Name;ChannelMember01;ChannelMember02;ChannelMember03;ChannelMember04;ChannelMember05;ChannelMember06;ChannelMember07;ChannelMember08;ChannelMember09;ChannelMember10;ChannelMember11;ChannelMember12;ChannelMember13;ChannelMember14;ChannelMember15;ChannelMember16
Service N;PI1ADF2 Echo;PI1AMS2 Echo;PI1ANH2 Echo;PI1APD2 Echo;PI1DFT2 Echo;PI1DOR2 Echo;PI1DRA2 Echo;PI1FRL2 Echo;PI1GRL2 Echo;PI1KPH2 Echo;PI1NIJ2 Echo;PI1NYM2 Echo;PI1SPA2 Echo;PI1TWE2 Echo;PI1UTR2 Echo;PI1WFR2 Echo
Service Z;PI1ANH2 Echo;PI1APD2 Echo;PI2BRD2 Echo;PI1DFT2 Echo;PI1DOR2 Echo;PI1EHN2 Echo;PI1GRL2 Echo;PI1HRL2 Echo;PI1NIJ2 Echo;PI1NLB2 Echo;PI1NYM2 Echo;PI1SPA2 Echo;PI1TWE2 Echo;PI1UTR2 Echo;PI1ZLD2 Echo;PI1ZLB2 Echo
PI1ADF;PI1ADF S1S2;PI1ADF1 204;PI1ADF2 Noord;PI1ADF2 Midden;PI1ADF2 Zuid;PI1ADF2 Oost;PI1ADF2 Techtalk;PI1ADF1XRF088A;PI1ADF1XRF088B;PI1ADF2 Lokaal;PI1ADF1 Worldwd;PI1ADF1 Europa;PI1ADF1 NL talig;PI1ADF1 JOTA;PI1ADF2 T-miasta;
PI1AMS;PI1AMS S1S2;PI1AMS1 204;PI1AMS2 Noord;PI1AMS2 Midden;PI1AMS2 Zuid;PI1AMS2 Oost;PI1AMS2 Techtalk;PI1AMS1XRF088A;PI1AMS1XRF088B;PI1AMS2 Lokaal;PI1AMS1 Worldwd;PI1AMS1 Europa;PI1AMS1 NL talig;PI1AMS1 JOTA;PI1AMS2 T-miasta;
PI1ANH;PI1ANH S1S2;PI1ANH1 204;PI1ANH2 Noord;PI1ANH2 Midden;PI1ANH2 Zuid;PI1ANH2 Oost;PI1ANH2 Techtalk;PI1ANH1XRF088A;PI1ANH1XRF088B;PI1ANH2 Lokaal;PI1ANH1 Worldwd;PI1ANH1 Europa;PI1ANH1 NL talig;PI1ANH1 JOTA;PI1ANH2 T-miasta;
PI1APD;PI1APD S1S2;PI1APD1 204;PI1APD2 Noord;PI1APD2 Midden;PI1APD2 Zuid;PI1APD2 Oost;PI1APD2 Techtalk;PI1APD1XRF088A;PI1APD1XRF088B;PI1APD2 Lokaal;PI1APD1 Worldwd;PI1APD1 Europa;PI1APD1 NL talig;PI1APD1 JOTA;PI1APD2 T-miasta;
PI2BRD;PI2BRD S1S2;PI2BRD1 204;PI2BRD2 Noord;PI2BRD2 Midden;PI2BRD2 Zuid;PI2BRD2 Oost;PI2BRD2 Techtalk;PI2BRD1XRF088A;PI2BRD1XRF088B;PI2BRD2 Lokaal;PI2BRD1 Worldwd;PI2BRD1 Europa;PI2BRD1 NL talig;PI2BRD1 JOTA;PI2BRD2 T-miasta;
PI1DFT;PI1DFT S1S2;PI1DFT1 204;PI1DFT2 Noord;PI1DFT2 Midden;PI1DFT2 Zuid;PI1DFT2 Oost;PI1DFT2 Techtalk;PI1DFT1XRF088A;PI1DFT1XRF088B;PI1DFT2 Lokaal;PI1DFT1 Worldwd;PI1DFT1 Europa;PI1DFT1 NL talig;PI1DFT1 JOTA;PI1DFT2 T-miasta;
PI1DOR;PI1DOR S1S2;PI1DOR1 204;PI1DOR2 Noord;PI1DOR2 Midden;PI1DOR2 Zuid;PI1DOR2 Oost;PI1DOR2 Techtalk;PI1DOR1XRF088A;PI1DOR1XRF088B;PI1DOR2 Lokaal;PI1DOR1 Worldwd;PI1DOR1 Europa;PI1DOR1 NL talig;PI1DOR1 JOTA;PI1DOR2 T-miasta;
PI1DRA;PI1DRA S1S2;PI1DRA1 204;PI1DRA2 Noord;PI1DRA2 Midden;PI1DRA2 Zuid;PI1DRA2 Oost;PI1DRA2 Techtalk;PI1DRA1XRF088A;PI1DRA1XRF088B;PI1DRA2 Lokaal;PI1DRA1 Worldwd;PI1DRA1 Europa;PI1DRA1 NL talig;PI1DRA1 JOTA;PI1DRA2 T-miasta;
PI1EHN;PI1EHN S1S2;PI1EHN1 204;PI1EHN2 Noord;PI1EHN2 Midden;PI1EHN2 Zuid;PI1EHN2 Oost;PI1EHN2 Techtalk;PI1EHN1XRF088A;PI1EHN1XRF088B;PI1EHN2 Lokaal;PI1EHN1 Worldwd;PI1EHN1 Europa;PI1EHN1 NL talig;PI1EHN1 JOTA;PI1EHN2 T-miasta;
PI1FRL;PI1FRL S1S2;PI1FRL1 204;PI1FRL2 Noord;PI1FRL2 Midden;PI1FRL2 Zuid;PI1FRL2 Oost;PI1FRL2 Techtalk;PI1FRL1XRF088A;PI1FRL1XRF088B;PI1FRL2 Lokaal;PI1FRL1 Worldwd;PI1FRL1 Europa;PI1FRL1 NL talig;PI1FRL1 JOTA;PI1FRL2 T-miasta;
PI1GRL;PI1GRL S1S2;PI1GRL1 204;PI1GRL2 Noord;PI1GRL2 Midden;PI1GRL2 Zuid;PI1GRL2 Oost;PI1GRL2 Techtalk;PI1GRL1XRF088A;PI1GRL1XRF088B;PI1GRL2 Lokaal;PI1GRL1 Worldwd;PI1GRL1 Europa;PI1GRL1 NL talig;PI1GRL1 JOTA;PI1GRL2 T-miasta;
PI1HRL;PI1HRL S1S2;PI1HRL1 204;PI1HRL2 Noord;PI1HRL2 Midden;PI1HRL2 Zuid;PI1HRL2 Oost;PI1HRL2 Techtalk;PI1HRL1XRF088A;PI1HRL1XRF088B;PI1HRL2 Lokaal;PI1HRL1 Worldwd;PI1HRL1 Europa;PI1HRL1 NL talig;PI1HRL1 JOTA;PI1HRL2 T-miasta;
PI1KPH;PI1KPH S1S2;PI1KPH1 204;PI1KPH2 Noord;PI1KPH2 Midden;PI1KPH2 Zuid;PI1KPH2 Oost;PI1KPH2 Techtalk;PI1KPH1XRF088A;PI1KPH1XRF088B;PI1KPH2 Lokaal;PI1KPH1 Worldwd;PI1KPH1 Europa;PI1KPH1 NL talig;PI1KPH1 JOTA;PI1KPH2 T-miasta;
PI1NIJ;PI1NIJ S1S2;PI1NIJ1 204;PI1NIJ2 Noord;PI1NIJ2 Midden;PI1NIJ2 Zuid;PI1NIJ2 Oost;PI1NIJ2 Techtalk;PI1NIJ1XRF088A;PI1NIJ1XRF088B;PI1NIJ2 Lokaal;PI1NIJ1 Worldwd;PI1NIJ1 Europa;PI1NIJ1 NL talig;PI1NIJ1 JOTA;PI1NIJ2 T-miasta;
PI1NLB;PI1NLB S1S2;PI1NLB1 204;PI1NLB2 Noord;PI1NLB2 Midden;PI1NLB2 Zuid;PI1NLB2 Oost;PI1NLB2 Techtalk;PI1NLB1XRF088A;PI1NLB1XRF088B;PI1NLB2 Lokaal;PI1NLB1 Worldwd;PI1NLB1 Europa;PI1NLB1 NL talig;PI1NLB1 JOTA;PI1NLB2 T-miasta;
PI1NYM;PI1NYM S1S2;PI1NYM1 204;PI1NYM2 Noord;PI1NYM2 Midden;PI1NYM2 Zuid;PI1NYM2 Oost;PI1NYM2 Techtalk;PI1NYM1XRF088A;PI1NYM1XRF088B;PI1NYM2 Lokaal;PI1NYM1 Worldwd;PI1NYM1 Europa;PI1NYM1 NL talig;PI1NYM1 JOTA;PI1NYM2 T-miasta;
PI1SPA;PI1SPA S1S2;PI1SPA1 204;PI1SPA2 Noord;PI1SPA2 Midden;PI1SPA2 Zuid;PI1SPA2 Oost;PI1SPA2 Techtalk;PI1SPA1XRF088A;PI1SPA1XRF088B;PI1SPA2 Lokaal;PI1SPA1 Worldwd;PI1SPA1 Europa;PI1SPA1 NL talig;PI1SPA1 JOTA;PI1SPA2 T-miasta;
PI1TWE;PI1TWE S1S2;PI1TWE1 204;PI1TWE2 Noord;PI1TWE2 Midden;PI1TWE2 Zuid;PI1TWE2 Oost;PI1TWE2 Techtalk;PI1TWE1XRF088A;PI1TWE1XRF088B;PI1TWE2 Lokaal;PI1TWE1 Worldwd;PI1TWE1 Europa;PI1TWE1 NL talig;PI1TWE1 JOTA;PI1TWE2 T-miasta;
PI1UTR;PI1UTR S1S2;PI1UTR1 204;PI1UTR2 Noord;PI1UTR2 Midden;PI1UTR2 Zuid;PI1UTR2 Oost;PI1UTR2 Techtalk;PI1UTR1XRF088A;PI1UTR1XRF088B;PI1UTR2 Lokaal;PI1UTR1 Worldwd;PI1UTR1 Europa;PI1UTR1 NL talig;PI1UTR1 JOTA;PI1UTR2 T-miasta;
PI1WFR;PI1WFR S1S2;PI1WFR1 204;PI1WFR2 Noord;PI1WFR2 Midden;PI1WFR2 Zuid;PI1WFR2 Oost;PI1WFR2 Techtalk;PI1WFR1XRF088A;PI1WFR1XRF088B;PI1WFR2 Lokaal;PI1WFR1 Worldwd;PI1WFR1 Europa;PI1WFR1 NL talig;PI1WFR1 JOTA;PI1WFR2 T-miasta;
PI1ZLB;PI1ZLB S1S2;PI1ZLB1 204;PI1ZLB2 Noord;PI1ZLB2 Midden;PI1ZLB2 Zuid;PI1ZLB2 Oost;PI1ZLB2 Techtalk;PI1ZLB1XRF088A;PI1ZLB1XRF088B;PI1ZLB2 Lokaal;PI1ZLB1 Worldwd;PI1ZLB1 Europa;PI1ZLB1 NL talig;PI1ZLB1 JOTA;PI1ZLB2 T-miasta;
PI1ZLD;PI1ZLD S1S2;PI1ZLD1 204;PI1ZLD2 Noord;PI1ZLD2 Midden;PI1ZLD2 Zuid;PI1ZLD2 Oost;PI1ZLD2 Techtalk;PI1ZLD1XRF088A;PI1ZLD1XRF088B;PI1ZLD2 Lokaal;PI1ZLD1 Worldwd;PI1ZLD1 Europa;PI1ZLD1 NL talig;PI1ZLD1 JOTA;PI1ZLD2 T-miasta;
PJ2R;PJ2R S1S2;PJ2R1 204;PJ2R NL Noord;PJ2R NL Midden;PJ2R NL Zuid;PJ2R NL Oost;PJ2R Techtalk;PJ2R1 Worldwd;PJ2R1 Europa;PJ2R1 NL talig;PJ2R1XRF088A;PJ2R1XRF088B;PJ2R1 JOTA;PJ2R2 Lokaal;PJ2R T-miasta;
