Name;ChannelMember01;ChannelMember02;ChannelMember03;ChannelMember04;ChannelMember05;ChannelMember06;ChannelMember07;ChannelMember08;ChannelMember09;ChannelMember10;ChannelMember11;ChannelMember12;ChannelMember13;ChannelMember14;ChannelMember15;ChannelMember16
m PI1AMF;mPI1AMF S1S2;mPI1AMF1 204;mPI1AMF2 204;mPI1AMF2 Regio;mPI1AMF1 Lokaal;mPI1AMF2 Lokaal;mPI1AMF1 Worldwd;mPI1AMF1 Europa;mPI1AMF1 NLTalig;mPI1AMF1 ENTalig;mPI1AMF1 DUTalig;mPI1AMF1DL-OE-HB;;;;
m PI1NOG;mPI1NOG S1S2;mPI1NOG1 204;mPI1NOG2 204;mPI1NOG2 Regio;mPI1NOG1 Lokaal;mPI1NOG2 Lokaal;mPI1NOG1 Worldwd;mPI1NOG1 Europa;mPI1NOG1 NLTalig;mPI1NOG1 ENTalig;mPI1NOG1 DUTalig;mPI1NOG1DL-OE-HB;;;;
m PI1DHG;mPI1DHG S1S2;mPI1DHG1 204;mPI1DHG2 204;mPI1DHG2 Regio;mPI1DHG1 Lokaal;mPI1DHG2 Lokaal;mPI1DHG1 Worldwd;mPI1DHG1 Europa;mPI1DHG1 NLTalig;mPI1DHG1 ENTalig;mPI1DHG1 DUTalig;mPI1DHG1DL-OE-HB;;;;
m PI1ZWL;mPI1ZWL S1S2;mPI1ZWL1 204;mPI1ZWL2 204;mPI1ZWL2 Regio;mPI1ZWL1 Lokaal;mPI1ZWL2 Lokaal;mPI1ZWL1 Worldwd;mPI1ZWL1 Europa;mPI1ZWL1 NLTalig;mPI1ZWL1 ENTalig;mPI1ZWL1 DUTalig;mPI1ZWL1DL-OE-HB;;;;
ON0BXL;ON0BXL S1S2;ON0BXL1 Belgie;ON0BXL1 BE Noord;ON0BXL1 BE Zuid;ON0BXL1 BE Oost;ON0BXL2 Lokaal;ON0BXL2 Worldwd;ON0BXL2 Europa;ON0BXL2 NL talig;ON0BXL2 NL Zuid;ON0BXL2 T-miasta;;;;;
ON0DP;ON0DP S1S2;ON0DP1 Belgie;ON0DP1 BE Noord;ON0DP1 BE Zuid;ON0DP1 BE Oost;ON0DP2 Lokaal;ON0DP2 Worldwd;ON0DP2 Europa;ON0DP2 NL talig;ON0DP2 NL Zuid;ON0DP2 T-miasta;;;;;
ON0ESB;ON0ESB S1S2;ON0ESB1 Belgie;ON0ESB1 BE Noord;ON0ESB1 BE Zuid;ON0ESB1 BE Oost;ON0ESB2 Lokaal;ON0ESB2 Worldwd;ON0ESB2 Europa;ON0ESB2 NL talig;ON0ESB2 NL Zuid;ON0ESB2 T-miasta;;;;;
ON0GRC;ON0GRC S1S2;ON0GRC1 Belgie;ON0GRC1 BE Noord;ON0GRC1 BE Zuid;ON0GRC1 BE Oost;ON0GRC2 Lokaal;ON0GRC2 Worldwd;ON0GRC2 Europa;ON0GRC2 NL talig;ON0GRC2 NL Zuid;ON0GRC2 T-miasta;;;;;
ON0HAM;ON0HAM S1S2;ON0HAM1 Belgie;ON0HAM1 BE Noord;ON0HAM1 BE Zuid;ON0HAM1 BE Oost;ON0HAM2 Lokaal;ON0HAM2 Worldwd;ON0HAM2 Europa;ON0HAM2 NL talig;ON0HAM2 NL Zuid;ON0HAM2 T-miasta;;;;;
ON0HOP;ON0HOP S1S2;ON0HOP1 Belgie;ON0HOP1 BE Noord;ON0HOP1 BE Zuid;ON0HOP1 BE Oost;ON0HOP2 Lokaal;ON0HOP2 Worldwd;ON0HOP2 Europa;ON0HOP2 NL talig;ON0HOP2 NL Zuid;ON0HOP2 T-miasta;;;;;
ON0MLB;ON0MLB S1S2;ON0MLB1 Belgie;ON0MLB1 BE Noord;ON0MLB1 BE Zuid;ON0MLB1 BE Oost;ON0MLB2 Lokaal;ON0MLB2 Worldwd;ON0MLB2 Europa;ON0MLB2 NL talig;ON0MLB2 NL Zuid;ON0MLB2 T-miasta;;;;;
ON0PRX;ON0PRX S1S2;ON0PRX1 Belgie;ON0PRX1 BE Noord;ON0PRX1 BE Zuid;ON0PRX1 BE Oost;ON0PRX2 Lokaal;ON0PRX2 Worldwd;ON0PRX2 Europa;ON0PRX2 NL talig;ON0PRX2 NL Zuid;ON0PRX2 T-miasta;;;;;
ON0SNW;ON0SNW S1S2;ON0SNW1 Belgie;ON0SNW1 BE Noord;ON0SNW1 BE Zuid;ON0SNW1 BE Oost;ON0SNW2 Lokaal;ON0SNW2 Worldwd;ON0SNW2 Europa;ON0SNW2 NL talig;ON0SNW2 NL Zuid;ON0SNW2 T-miasta;;;;;
ON0WV;ON0WV S1S2;ON0WV1 Belgie;ON0WV1 BE Noord;ON0WV1 BE Zuid;ON0WV1 BE Oost;ON0WV2 Lokaal;ON0WV2 Worldwd;ON0WV2 Europa;ON0WV2 NL talig;ON0WV2 NL Zuid;ON0WV2 T-miasta;;;;;
SR2OX;SR2OX S1S2;SR2OX1 Polska;SR2OX1 Worldwd;SR2OX1 Europa;SR2OX1 2602;SR2OX2 T-miasta;SR2OX2 26022;SR2OX2 NL Zuid;;;;;;;;
SR2GDD;SR2GDD S1S2;SR2GDD1 Polska;SR2GDD1 Worldwd;SR2GDD1 Europa;SR2GDD1 2602;SR2GDD2 T-miasta;SR2GDD2 26022;SR2GDD2 NL Zuid;;;;;;;;
DMR-SIMPLEX;SIMP-1D;SIMP-2D-OPR;SIMP-3D;SIMP-4D;SIMP-5D;SIMP-6D;SIMP-7D;SIMP-8D-EXP;;;;;;;;
UHF-NL-NOORD;NOG-430.3250;GRO-430.2375;WSN-430.1500;HVN-430.0250;ASN-430.0500;MEP-430.0750;NON-COVERSITY;NOS-430.1250;;;;;;;;
UHF-NL-OOST;DEV-430.3625;KMP-430.1750;NOV-430.2625;APD-430.1500;ANH-430.0500;TWE-430.2250;JUT-430.0625;NMG-430.3125;YSS-430.0125;AMF-430.2500;ZST-430.0750;NOS-430.1250;;;;
UHF-NL-ZUID;BRD-430.3250;SHB-430.2375;EHV-430.1000;NEN-430.0625;BOZ-430.0250;NLB-430.2000;GAY-430.0750;RMD-430.3625;VNR-430.3500;VLI-430.3375;ZLD-430.075;NOS-430.1250;;;;
UHF-NL-WEST;ALK-430.3750;ASD-430.2000;ASD-438.5000;ZAZ-430.03750;RDH-430.2625;HLM-430.2500;FLD-430.2875;DFT-430.0875;HGL-430.3500;DEC-430.3625;GOR-430.0125;SWK-430.2250;RTD-430.3000;RAZ-430.1500;NOS-430.1250;PD5DJ 438.8125
UHF Simplex;SIMP-9A;SIMP-10A-OPR;SIMP-11A;SIMP-12A;SIMP-13A;SIMP-14A;SIMP-15A;;;;;;;;;
UHF-PMR;PMR-1;PMR-2;PMR-3;PMR-4;PMR-5;PMR-6;PMR-7;PMR-8;;;;;;;;
LPD;LPD 01;LPD 02;LPD 03;LPD 04;LPD 05;LPD 06;LPD 07;LPD 08;LPD 09;LPD 10;LPD 11;LPD 51;LPD 62;LPD 65;LPD 66;LPD 69
UK Simplex;UKSimp1;UKSimp2;UKSimp3Oproep;UKSimp4;UKSimp5;UKSimp6;;;;;;;;;;
Brandw Porto;Brw port 01;Brw port 02;Brw port 03;Brw port 04;Brw port 05;Brw port 06;Brw port 07;Brw port 08;Brw port 09;Brw port 10;Brw port 11;Brw port 12;Brw port 13;Brw port 14;Brw port 15;Brw port 16
Brw DMR;Brw DMR 01;Brw DMR 02;Brw DMR 03;Brw DMR 04;Brw DMR 05;Brw DMR 06;Brw DMR 07;Brw DMR 08;Brw DMR 09;Brw DMR 10;Brw DMR 11;Brw DMR 12;Brw DMR 13;Brw DMR 14;Brw DMR 15;Brw DMR 16
