CallId;CallReceiveTone;CallType;Name
2048136;off;private;PA3CNC Henri
2046045;off;private;PA3CPH Ton
2041021;off;private;PA3CPI Peter
2041028;off;private;PA3CQJ Rutger
2045018;off;private;PA3CRL Cor
2043018;off;private;PA3CSC Dick
2042057;off;private;PA3CTA Willem
2041019;off;private;PA3CUU Hein
2045043;off;private;PA3CWQ Harry
2044134;off;private;PA3CWV Bert
2041154;off;private;PA3CX Ramon
2041172;off;private;PA3CX. Ramon
2047053;off;private;PA3CXB Jan
2047093;off;private;PA3CXB. Jan
2045022;off;private;PA3DAN Raymond
2042049;off;private;PA3DFI Ruud
2042081;off;private;PA3DFR Paul
2048106;off;private;PA3DJR Jan
2042233;off;private;PA3DLC Peter
2041165;off;private;PA3DLK Rob
2043025;off;private;PA3DM Danny
2047061;off;private;PA3DPS Hans
2048126;off;private;PA3DTF John.F
2041083;off;private;PA3DWC Gerrit
2047140;off;private;PA3DXL Joop
2044008;off;private;PA3DYA Ardo
2044009;off;private;PA3DYA. Ardo
2043109;off;private;PA3DZB Theo
2045040;off;private;PA3DZW Gerard
2045127;off;private;PA3DZW. Gerard
2047096;off;private;PA3DZX Eric
2045063;off;private;PA3E Edmond
2041009;off;private;PA3EAL Peter
2041076;off;private;PA3EBO Jan
2048170;off;private;PA3ECN Eric
2042176;off;private;PA3EFR Erwin
2041023;off;private;PA3EHA Carel
2043070;off;private;PA3EJE Wim
2041007;off;private;PA3EKE Rob
2042188;off;private;PA3EKI Jaap
2041049;off;private;PA3EKP Cor
2044063;off;private;PA3ENP John
2046137;off;private;PA3ERQ AlfFred
2047181;off;private;PA3ESI Eric
2042212;off;private;PA3ESZ Hans
2044044;off;private;PA3ETC Hans
2043050;off;private;PA3ETK Hans
2046069;off;private;PA3EWR Wim
2048065;off;private;PA3FAH Henk
2042075;off;private;PA3FBT Cees
2047185;off;private;PA3FBX Benno
2047057;off;private;PA3FFS Marijn
2042208;off;private;PA3FFU Joop
2042330;off;private;PA3FHI Fred
2041132;off;private;PA3FJJ Dolf
2044080;off;private;PA3FKH Kees
2044066;off;private;PA3FMD Leo
2043063;off;private;PA3FMK Olbert
2041074;off;private;PA3FMN Peter
2047133;off;private;PA3FNT Foeke
2042308;off;private;PA3FPZ Jean
2042054;off;private;PA3FRH Ruud
2041110;off;private;PA3FRI Martin
2047129;off;private;PA3FS Frank
2042067;off;private;PA3FTT Quirijn
2048135;off;private;PA3FTV KARST
2048141;off;private;PA3FUO Sietze
2048085;off;private;PA3FWZ Fokko
2042243;off;private;PA3FXH Jan
2047118;off;private;PA3FYS Frits
2048015;off;private;PA3GAZ Alphons
2043046;off;private;PA3GDP Cees
2044137;off;private;PA3GEO Robert
2044100;off;private;PA3GEP Eddy
2043008;off;private;PA3GER Johan
2048027;off;private;PA3GET Gert
2048044;off;private;PA3GFY Rob
2044021;off;private;PA3GJL Marc
2042249;off;private;PA3GKU Fred
2042014;off;private;PA3GLG Ad
2041207;off;private;PA3GLS Hans
2045066;off;private;PA3GMD Willem
2041112;off;private;PA3GMG Louis
2046150;off;private;PA3GNX Harrie
2044034;off;private;PA3GOC Maarten
2048108;off;private;PA3GOQ Gary
2042217;off;private;PA3GQZ John
2046072;off;private;PA3GSH Harry
2048138;off;private;PA3GTL Wim
2045069;off;private;PA3GUU Peter
2046136;off;private;PA3GWC Albert
2048142;off;private;PA3GXX Abe
2042320;off;private;PA3GXZ Michel
2043033;off;private;PA3GYM Jaap
2041190;off;private;PA3GZT Hans
2042174;off;private;PA3H Hans
2047108;off;private;PA3HAH Harry
2044082;off;private;PA3HAS Guus
2044036;off;private;PA3HDZ Hein
2047031;off;private;PA3HEB Marcel
2044139;off;private;PA3HFJ Wijnand
2042241;off;private;PA3HGL Jaap
2042179;off;private;PA3JLM Jan
2042192;off;private;PA3JT Jeroen
2045174;off;private;PA3KC Jurgen
2045166;off;private;PA3KYH Willwm
2042022;off;private;PA3L Lennart
2047041;off;private;PA3LEX Alex
2043071;off;private;PA3MET Roeland
2042025;off;private;PA3MSF Ivo
2044120;off;private;PA3MT Mitchel
2041079;off;private;PA3NFN Lucas
2046079;off;private;PA3NXW Maurice
2043038;off;private;PA3OZB John
2041037;off;private;PA3PM Peter
2041044;off;private;PA3PM. Peter
2041178;off;private;PA3Q Wil
2046042;off;private;PA3RD Reink
2045103;off;private;PA3RIS Frank
2041210;off;private;PA3RK Ron
2044039;off;private;PA3TOP Jo
2041067;off;private;PA3UAV Jasper
2045153;off;private;PA4AGO Peter
2047103;off;private;PA4FH Frans
2042047;off;private;PA4GER Ger
2043026;off;private;PA4HAY Louis
2041205;off;private;PA4HS Henk
2042271;off;private;PA4I Tim
2044095;off;private;PA4JAM John
